IMPID	EXPID	0	1	2	
1	2	1	7.8132e-09	0	
1	3	0	1	0	
1	4	1.77751e-36	1	0	
1	5	1.19733e-18	1	0	
1	6	0	0	1	
1	7	0	1	0	
1	8	1	6.29407e-14	0	
1	9	0.999997	3.32622e-06	0	
1	10	0	1	0	
2	3	1.35782e-242	1	0	
2	4	0	1.73111e-312	1	
2	5	0	1	0	
2	6	1	1.65111e-12	0	
2	7	0	8.13888e-310	1	
2	8	1	3.47174e-11	0	
2	9	0	1.67982e-322	1	
2	10	1	1.40255e-13	0	
3	4	1	2.0262e-12	0	
3	5	1	4.28889e-11	0	
3	6	1	5.65627e-12	0	
3	7	1	5.1396e-12	0	
3	8	1	3.85192e-11	0	
3	9	1	3.44434e-11	0	
3	10	1	5.1176e-10	0	
4	5	1	4.81794e-12	0	
4	6	0	7.98798e-316	1	
4	7	0	1	0	
4	8	0	0	1	
4	9	0	2.30275e-317	1	
4	10	1	1.39702e-09	0	
5	6	4.02433e-189	1	0	
5	7	1	1.36056e-12	0	
5	8	1	2.47702e-12	0	
5	9	0	1	0	
5	10	1	1.46631e-12	0	
6	7	0	1	0	
6	8	1	4.76707e-13	0	
6	9	1	2.52133e-12	0	
6	10	0	1.4822e-323	1	
7	8	0	1.06674e-318	1	
7	9	0	1	0	
7	10	0	1	0	
8	9	1	2.06384e-12	0	
8	10	6.12413e-36	1	0	
9	10	1	6.2426e-13	0	
