IMPID	EXPID	0	1	2	
1	2	1	1.55053e-15	0	
1	3	0	1	0	
1	4	0	1	0	
1	5	2.51595e-27	1	0	
1	6	0	1.665e-321	1	
1	7	1	8.16688e-13	0	
1	8	0	0	1	
1	9	0	9.91558e-310	1	
1	10	1.16554e-86	1	0	
2	3	1	4.30288e-14	0	
2	4	0	1	0	
2	5	1	1.13989e-14	0	
2	6	1	3.18449e-14	0	
2	7	1.72331e-38	1	0	
2	8	1.92204e-215	1	0	
2	9	0	3.92991e-293	1	
2	10	1	1.16745e-12	0	
3	4	1	3.0863e-15	0	
3	5	0	1	0	
3	6	0	1	0	
3	7	0	1	0	
3	8	0	1	0	
3	9	0	0	1	
3	10	0	1	0	
4	5	1	4.45998e-08	0	
4	6	7.98753e-26	1	0	
4	7	1	3.27682e-11	0	
4	8	0	1	0	
4	9	0	6.48252e-309	1	
4	10	3.72789e-31	1	0	
5	6	0	1	0	
5	7	7.34667e-34	1	0	
5	8	1	5.31087e-09	0	
5	9	0	5.76301e-310	1	
5	10	2.62674e-125	1	0	
6	7	3.88503e-307	1	0	
6	8	1	7.02527e-11	0	
6	9	0	0	1	
6	10	0	8.95433e-300	1	
7	8	0	6.91692e-323	1	
7	9	1	9.78273e-13	0	
7	10	1	1.08957e-09	0	
8	9	0	1	0	
8	10	3.73082e-18	1	0	
9	10	1	3.59583e-13	0	
