IMPID	EXPID	0	1	2	
1	2	1	4.02075e-14	0	
1	3	6.50758e-233	1	0	
1	4	0	1	0	
1	5	7.35487e-53	1	0	
1	6	0	1	0	
1	7	1	1.28992e-13	0	
1	8	0	1.12797e-301	1	
1	9	6.57271e-52	1	0	
1	10	0	1	0	
2	3	1	2.77118e-14	0	
2	4	0	1	0	
2	5	1	5.38035e-13	0	
2	6	1	9.23815e-13	0	
2	7	3.41299e-183	1	0	
2	8	0	1	0	
2	9	0	2.36083e-314	1	
2	10	1	4.57223e-11	0	
3	4	1	2.98683e-12	0	
3	5	0	1	0	
3	6	0	7.43367e-306	1	
3	7	0	1	0	
3	8	5.97693e-217	1	0	
3	9	0	0	1	
3	10	3.77358e-23	1	0	
4	5	1	5.10268e-13	0	
4	6	8.88192e-27	1	0	
4	7	1	7.19599e-12	0	
4	8	1.35891e-42	1	0	
4	9	0	0	1	
4	10	4.43967e-238	1	0	
5	6	0	1	0	
5	7	2.08473e-25	1	0	
5	8	1	3.86187e-12	0	
5	9	0	0	1	
5	10	3.04862e-28	1	0	
6	7	0	1	0	
6	8	1	8.0345e-17	0	
6	9	0	2.38288e-317	1	
6	10	0	1	0	
7	8	1	5.13796e-12	0	
7	9	1	1.21592e-12	0	
7	10	0	1	0	
8	9	0	1.48693e-316	1	
8	10	0	1	0	
9	10	1	1.22703e-09	0	
